client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 999.9833333333333 2.412643352682996 59999 0 59759 998.2 1001.9 1.5144856112445002 1.0 43.0 1.5650353247845636
1 3000 10 2999.833333333333 5.709694908289865 179990 0 134218 2993.0 3006.9 5.434212607790274 1.0 50.0 3.7826431293889464
1 5000 10 5000.433333333333 8.450848093281737 300026 0 115381 4994.2 5011.1 5.964785550769532 1.0 62.0 5.286106783138227
1 7000 10 7000.05 11.353018743524537 420003 0 106637 6990.2 7009.3 6.441971747842491 1.0 64.0 7.527481605589533
1 9000 10 9000.916666666666 16.00908251461726 540055 0 80456 8975.7 9020.5 14.87150519169667 1.0 72.0 11.018338895833063
1 11000 10 10577.949999999999 323.01101505175075 634677 0 0 10549.4 10606.0 24.47690748440273 191.0 498.0 66.93729493584065
1 13000 10 10417.716666666667 283.21725170102854 625063 0 0 10339.0 10451.6 41.41383424251702 164.0 433.0 53.34512102249215
1 15000 10 10713.716666666667 276.9511637747308 642823 0 0 10645.3 10809.6 61.09492341157884 156.0 436.0 52.20941720181233
1 17000 10 10634.25 279.5977105350182 638055 0 0 10572.1 10695.7 45.28212671684072 157.0 431.0 54.27872442353786
1 19000 10 10576.816666666666 280.67157257460894 634609 0 0 10511.9 10674.8 68.77567641736904 157.0 453.0 54.64464365199012
1 21000 10 10776.5 276.4423715182728 646590 0 0 10714.0 10810.1 36.68607365200057 157.0 426.0 53.143929355462255
