client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 999.9666666666667 1.9205441640378549 59998 0 59856 999.1 1001.0 0.6282250127674488 1.0 43.0 1.5241054627495825
1 2000 10 2000.0166666666669 3.2937610420203 120001 0 118240 1998.1 2001.8 1.5171244730300417 1.0 48.0 2.620888954639308
1 3000 10 2999.6 4.677525379550027 179976 0 146270 2996.0 3006.4 3.6337308651027396 1.0 47.0 3.258100815664934
1 4000 10 3999.9166666666665 5.934720520494025 239995 0 137212 3991.5 4009.0 7.12837054779474 1.0 48.0 4.1445899946902
1 5000 10 4999.3166666666675 7.172991033493538 299959 0 131533 4993.0 5004.4 4.64431552186814 1.0 50.0 4.6979479254596495
1 6000 10 5999.3166666666675 8.10305027685995 359959 0 125773 5987.8 6013.6 9.82250816577253 1.0 54.0 5.394666434245127
1 7000 10 7002.516666666666 9.051846718264603 420151 0 116646 6993.5 7012.6 7.841534713732198 1.0 56.0 5.735175200012373
1 8000 10 8001.216666666666 10.975955052848482 480073 0 108152 7988.1 8016.1 10.858990131069609 1.0 93.0 7.793478207000193
1 9000 10 8999.066666666666 11.916194807485207 539944 0 105679 8986.0 9010.5 7.902826498580561 1.0 62.0 7.913231426448641
1 10000 10 9999.383333333335 12.488879556497789 599963 0 113160 9995.9 10003.7 3.5532614126556576 1.0 97.0 8.441000772731343
1 11000 10 10999.9 16.30783308259641 659994 0 92700 10977.7 11039.6 22.906767558955387 1.0 89.0 11.284558142695442
1 12000 10 12001.583333333332 14.301786120049035 720095 0 116030 11976.3 12012.4 13.26309415885571 1.0 80.0 10.529312056153152
1 13000 10 12920.883333333335 373.5810258070591 775253 0 0 12865.4 12992.5 48.65714404552191 237.0 575.0 97.77755341183519
1 14000 10 12847.05 383.52852150042423 770823 0 0 12735.5 12953.9 74.26066926711601 220.0 588.0 78.65022018237181
1 15000 10 13237.666666666666 338.1862958887414 794260 0 0 13162.0 13306.8 52.421509580196734 182.0 531.0 71.39132212090945
1 16000 10 12998.483333333334 290.5217243572319 779909 0 0 12910.2 13073.4 59.969672891109184 138.0 525.0 74.51048903557484
1 17000 10 13164.566666666668 260.1030832297319 789874 0 0 13060.3 13226.3 61.12661177152438 135.0 508.0 66.42444433705852
1 18000 10 12749.800000000001 252.327587040777 764988 0 0 12631.6 12903.4 96.2891686535923 132.0 480.0 57.57882940004197
1 19000 10 13003.6 238.0586377583586 780216 0 0 12844.3 13217.8 141.14773820362805 129.0 434.0 53.44959847577376
1 20000 10 13125.666666666668 233.5080910792423 787540 0 0 12861.1 13234.0 138.55063574977444 123.0 453.0 49.83730378152895
1 21000 10 13400.449999999999 220.7122696128364 804027 0 0 13302.9 13490.1 81.60803269286706 117.0 379.0 47.59539703254089
1 22000 10 13046.283333333333 225.60209843454177 782777 0 0 12894.0 13154.0 95.89213558299066 120.0 418.0 47.900576220873354
1 23000 10 13110.0 222.25872140696848 786600 0 0 13032.3 13195.8 60.866181086051455 127.0 376.0 45.87656574076255
