client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 8000 10 7999.1 10.626022440220463 479946 0 108429 7985.9 8014.6 10.998909036809183 1.0 67.0 6.581504554299336
1 9000 10 8997.733333333334 12.32739723457346 539864 0 107898 8962.7 9030.0 21.518519155988866 1.0 63.0 8.261102939348829
1 10000 10 10000.366666666667 14.941278048189364 600022 0 92336 9966.0 10020.7 20.030743038306674 1.0 68.0 9.971572995064564
1 11000 10 11001.516666666666 17.040333990313364 660091 0 91708 10987.5 11013.6 9.985873355228643 1.0 91.0 11.9141156760291
1 12000 10 12001.483333333334 57.03722696153959 720089 0 70586 11790.1 12232.4 140.79912523402484 1.0 306.0 73.97482237552676
1 13000 10 12484.266666666666 421.8905848035191 749056 0 0 12373.4 12566.9 68.89948233961326 269.0 635.0 83.73840433485755
1 14000 10 12029.966666666667 367.17277156873746 721798 0 0 11948.7 12107.6 56.08217779889293 187.0 605.0 79.22204850169834
1 15000 10 12394.583333333334 321.9178819185314 743675 0 0 12291.1 12480.7 76.56188129001708 144.0 547.0 76.51269907841277
