client.theads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 10000 10 9359.616666666665 550.7506476660794 561577 0 21338 6181.9 11800.2 2391.158806450686 1.0 2219.0 465.37725348263206
1 1000 10 1000.2333333333333 1.6166053760616408 60014 0 59304 997.5 1001.7 1.4773850773128585 1.0 58.0 2.3621870866366375
1 2000 10 1999.55 2.261885503729667 119973 0 113965 1997.1 2002.4 2.0887795479657796 1.0 71.0 2.130895012389859
1 3000 10 3000.4666666666667 3.2500971459392995 180028 0 152656 2996.2 3004.6 3.3254573620281556 1.0 72.0 3.689299989078349
1 4000 10 4001.1333333333337 5.400409041521975 240068 0 132376 3990.3 4009.6 8.492741999299495 1.0 130.0 6.549858389920589
1 5000 10 4999.966666666666 5.836302902898817 299998 0 133535 4992.0 5010.4 6.811363054974019 1.0 59.0 4.329630708524811
1 6000 10 6000.549999999999 7.528211172540108 360033 0 118999 5996.8 6013.7 6.526484505459195 1.0 88.0 6.570376775424575
1 7000 10 6582.216666666666 430.187474327934 394933 0 50704 5472.0 7040.9 668.9854211166837 1.0 8270.0 702.266146433027
1 6000 10 6001.599999999999 8.576388300366673 360096 0 115761 5982.7 6017.0 13.002461305460608 1.0 188.0 12.45101476117706
1 6100 10 6064.15 8.88758870708117 363849 0 110186 6056.4 6078.4 8.048540240316834 1.0 131.0 10.449110206851858
1 6200 10 6175.133333333333 6.683211509967116 370508 0 123488 6163.8 6187.3 7.996916072253603 1.0 125.0 5.669052051656777
1 6300 10 6260.133333333333 8.167398180348414 375608 0 106672 6251.7 6272.6 7.681579698647308 1.0 96.0 6.882409298705815
1 6400 10 6370.9 7.414189021675672 382254 0 116774 6359.7 6380.2 8.702643276614227 1.0 108.0 6.879043632864305
1 6500 10 6474.616666666667 7.4673110826767 388477 0 112155 6465.2 6483.7 7.8249387644037425 1.0 59.0 5.074879283548554
1 6600 10 6568.483333333333 8.34395909053362 394109 0 106275 6561.6 6576.5 5.1665913973011515 1.0 80.0 6.45730882490456
1 6700 10 6658.466666666666 7.030556052208118 399508 0 119847 6651.1 6668.3 6.009880753115301 1.0 78.0 5.025377277079423
1 6800 10 6761.099999999999 16.140953334167396 405666 0 79743 6758.6 6768.7 3.879690709321914 1.0 229.0 23.136580267482497
1 6900 10 6855.95 8.085236248743358 411357 0 117925 6852.4 6860.8 3.727063187014864 1.0 137.0 8.197331242818505
1 7000 10 7000.616666666667 11.154650157737109 420037 0 100266 6985.6 7014.0 9.924397546786619 1.0 154.0 13.466492451196318
1 7100 10 7062.333333333333 10.91073446598797 423740 0 97889 7032.8 7108.0 25.858667147915106 1.0 178.0 13.791315643285115
1 7200 10 6759.833333333333 266.6931728453058 405590 0 79764 5778.0 7188.6 654.6505072683185 1.0 2779.0 550.7049579652122
