client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 794.2333333333333 1.4972300734878463 47654 0 46972 794.0 794.8 0.30110906108361024 1.0 48.0 2.4130344536844075
10 300 10 2782.3333333333335 11.082394378385862 166940 0 145465 2777.1 2795.3 7.109617898781039 1.0 151.0 25.690068423703856
10 500 10 4843.099999999999 77.86828307066136 290586 0 162795 4841.6 4844.4 0.9380831519644338 1.0 421.0 106.58347852052212
10 700 10 6831.316666666667 303.94662661054207 409879 0 40244 6706.1 6873.9 62.57090111758537 1.0 983.0 209.87695272964947
10 900 10 6526.799999999999 664.9590053213262 391608 0 7970 5310.7 7851.6 897.934309401306 1.0 1844.0 351.55418076955715
10 1100 10 5439.583333333333 890.5722059309752 326375 0 36917 720.1 8854.2 3513.258920954541 1.0 8307.0 1604.3141249467233
10 1300 10 5280.066666666667 934.6510858285454 316804 0 12974 710.1 10262.1 3944.78062998016 1.0 5545.0 1209.6355887950606
10 1500 10 6127.583333333333 667.3124586908923 367655 0 16 2375.5 8565.1 2166.778833583776 2.0 2927.0 558.5663914253215
10 1700 10 5983.733333333334 663.2446172015576 359024 0 0 2979.4 8721.4 2110.043659895848 75.0 2077.0 461.4175120011861
10 1900 10 6740.716666666666 572.1934165434504 404443 0 0 5665.6 8122.4 1014.4452166907125 89.0 1534.0 344.46815216740964
10 2100 10 5612.433333333333 863.560155131761 336746 0 0 985.2 13082.2 4787.171276094754 114.0 8528.0 1438.7982649868516
10 2300 10 6565.383333333333 612.9977127161305 393923 0 0 5250.2 7770.7 1092.0600046090262 94.0 1667.0 353.31904006969023
10 2500 10 6602.066666666667 591.1227809306458 396124 0 0 4902.1 8052.9 1274.6903006874518 97.0 1727.0 369.9310684597524
