client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.0166666666668 2.666708247202224 60001 0 58545 998.4 1000.9 0.861200712184255 1.0 75.0 5.764753928189557
1 2000 10 1999.9 13.011327415429962 119994 0 102751 1998.1 2003.1 1.9110206696945853 1.0 268.0 32.99468193261701
1 3000 10 2999.1666666666665 23.15590628124716 179950 0 123470 2996.6 3005.5 3.250640962435984 1.0 386.0 55.6709077602787
1 4000 10 4000.0833333333335 53.21214633114823 240005 0 90763 3996.1 4004.0 2.928082421426473 1.0 492.0 98.52403294568062
1 5000 10 5012.633333333333 77.72790472756438 300758 0 88096 4998.7 5043.0 18.679793003849515 1.0 596.0 129.31805267357717
1 6000 10 6000.3 162.84318651462345 360018 0 52320 5992.5 6006.9 4.88466989672774 1.0 749.0 193.54865129828664
1 7000 10 7021.650000000001 330.8014288470838 421299 0 29329 6816.7 7529.7 286.45072002004116 1.0 981.0 284.2231492330371
1 8000 10 7679.366666666667 967.4325465207635 460762 0 0 7135.2 8357.4 477.8739150305933 409.0 1870.0 347.1677925750232
1 9000 10 7566.4 966.2984312222458 453984 0 0 6673.3 8303.2 622.4398926804099 417.0 2100.0 373.628298849814
1 10000 10 7817.9 571.9358256620603 469074 0 110 6732.2 8743.0 844.2119070470401 1.0 1686.0 346.4760274332178
1 11000 10 7912.566666666667 561.6770577269424 474754 0 308 7014.9 8413.1 504.7275529101487 1.0 1544.0 350.0072373527754
1 12000 10 7728.6 583.7370173490183 463716 0 0 6301.9 8277.6 741.8012456177195 45.0 1634.0 369.53328962144246
1 13000 10 8072.583333333334 515.4316801347775 484355 0 0 6728.2 8914.5 848.8561631199166 31.0 1796.0 361.06810322874946
1 14000 10 7802.466666666666 524.8577134959745 468148 0 0 7225.5 8578.5 487.2509606626411 82.0 1550.0 331.35780335804424
1 15000 10 7828.783333333333 499.82014331820386 469727 0 0 6778.6 8364.5 583.7355648465035 106.0 1618.0 331.7039014953613
1 16000 10 7956.266666666667 466.60742685011394 477376 0 0 7483.6 8860.1 495.11131542984026 111.0 1616.0 314.0666902552597
1 17000 10 7930.583333333334 445.08096523757996 475835 0 0 6506.0 8679.2 795.0582706108194 111.0 1585.0 304.8834010930688
1 18000 10 7802.833333333333 451.09007198239954 468170 0 0 6434.3 8327.4 714.639418634787 106.0 1614.0 313.3557292539914
1 19000 10 7852.083333333334 436.9697701666652 471125 0 0 6360.0 8529.7 784.1564216829873 103.0 1552.0 302.42974079916485
1 20000 10 7772.383333333333 420.10550817745735 466343 0 0 6225.6 8417.6 799.7782803169056 112.0 1407.0 286.2541854663604
1 21000 10 7806.516666666667 419.7031939195969 468391 0 0 6286.5 8562.4 838.874578030987 110.0 1496.0 287.03567115183034
