client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
10 100 10 793.7833333333333 1.0334716585343608 47627 0 47616 793.2 794.2 0.3488074922742638 1.0 40.0 0.8131038659810982
10 300 10 2778.0833333333335 1.4842087608380186 166685 0 164871 2776.2 2779.7 1.3526517166908647 1.0 39.0 1.4348562094913329
10 500 10 4843.416666666666 2.6969909601905004 290605 0 260444 4837.3 4847.9 3.4804693170125187 1.0 45.0 2.5146680003642006
10 700 10 6827.650000000001 4.2811620745045476 409659 0 279719 6823.3 6830.9 2.6987033923718364 1.0 50.0 3.7109735013170413
10 900 10 8811.166666666666 5.616027340780791 528670 0 343978 8806.6 8818.3 4.128276476529169 1.0 53.0 6.140937247910774
10 1100 10 10791.883333333333 5.095293537777132 647513 0 412834 10788.8 10797.3 3.2418616051068576 1.0 57.0 6.129110766460144
10 1300 10 12452.916666666666 419.95942869303695 747175 0 0 12395.4 12508.1 47.56180890868948 276.0 667.0 86.41841489926172
10 1500 10 12538.183333333332 337.8758799914925 752291 0 0 12461.6 12631.5 71.66280532233326 179.0 543.0 77.9259599881307
10 1700 10 12385.35 272.9194003097763 743121 0 0 12247.0 12483.2 82.30003037666519 146.0 491.0 68.96285642655067
10 1900 10 12378.933333333332 255.16924543442317 742736 0 0 12240.9 12510.4 92.18925461607043 145.0 480.0 61.862114082607725
10 2100 10 12439.883333333333 243.15026018499663 746393 0 0 12378.2 12481.7 34.54894595594284 144.0 450.0 52.731686810411254
10 2300 10 12304.916666666668 241.32136427976405 738295 0 0 12269.8 12383.3 41.48148583002602 145.0 434.0 52.91745947418979
10 2500 10 12249.566666666666 238.16507884675565 734974 0 0 12157.1 12314.8 65.74531668998688 146.0 397.0 50.735698722324344
