client.threads_per_host client.txnrate site.commandlog_timeout THROUGHPUT(txn/s) AVGLATENCY(ms) TotalTXN Distributed SpecExec THMIN THMAX THSTDDEV LAMIN LAMAX LASTDDEV
1 1000 10 1000.2166666666667 8.337693612829073 60013 0 57860 998.3 1000.8 0.9621157241552138 1.0 545.0 43.316500173076655
1 3000 10 3000.0499999999997 153.19707143062627 180003 0 153076 2645.1 3348.3 222.40881951937078 1.0 4025.0 626.9053713604031
1 5000 10 5097.966666666666 22.916429259322644 305878 0 147109 4990.8 5584.8 238.58216753702845 1.0 1180.0 106.54301651229183
1 7000 10 4921.933333333333 534.5577793084828 295316 0 91641 215.9 7034.7 3251.1026638152584 1.0 18851.0 3045.2795370161557
1 9000 10 7305.416666666667 16.962100018094006 438325 0 95262 0.0 9083.6 3614.513691448224 1.0 189.0 24.524981597573355
1 11000 10 7092.55 460.63634932485456 425553 0 73098 0.0 11009.2 4742.260639294303 1.0 21148.0 2898.480089460087
1 13000 10 7893.0 46.554234399301194 473580 0 51056 0.0 13014.3 6374.222371709352 1.0 228.0 55.33972290955105
1 15000 10 6525.2 715.2848731317167 391512 0 289 0.0 14887.9 6253.390255213567 1.0 17079.0 2389.076295783501
1 17000 10 16221.316666666666 260.44454250948087 973279 0 0 15865.4 17002.5 431.3925007074958 57.0 616.0 106.6412844126462
1 19000 10 12934.983333333334 252.6403353700177 776099 0 0 0.0 16281.3 6403.229072715317 135.0 613.0 114.6639183895621
1 21000 10 15816.266666666668 215.1438544616127 948976 0 0 15381.8 16138.9 303.36006109352434 83.0 534.0 102.74298129656161
1 23000 10 12771.35 198.17390379495745 766281 0 0 0.0 16277.4 6405.997823524451 85.0 475.0 80.21256298254787
1 25000 10 8961.0 291.53027848506207 537660 0 0 0.0 16989.2 7590.219063241851 80.0 28816.0 1795.366018078846
